! d1b Date 17-Nov-11 Time 14:07:33 Run 130589 > 130592
! orf   brah  La2CoMnO6_300K  
!
! Created: Thu Nov 17 15:41:15 2011
! fullprof : INSTR=10
! Wave lenght 
! 2.520
! Monitor/counts   Counting time/sec 
!        5387923.   3600000.0
! Temperature: Sample, Regulation, Requested 
!            298.931     300.008     300.000
!  angle  counts   sigma (F9.3,F15.3,F9.2)
   83.290      10694.000       103.4118
   83.390      10822.000       104.0288
   83.490      10662.000       103.2570
   83.590      10921.000       104.5036
   83.690      11201.000       105.8348
   83.790      11275.000       106.1838
   83.890      11355.000       106.5598
   83.990      11697.000       108.1527
   84.090      11582.000       107.6197
   84.190      11757.000       108.4297
   84.290      11563.000       107.5314
   84.390      11317.000       106.3814
   84.490      11274.000       106.1791
   84.590      11093.000       105.3233
   84.690      10797.000       103.9086
   84.790      10785.000       103.8509
   84.890      10561.000       102.7667
   84.990      10647.000       103.1843
   85.090      10356.000       101.7644
   85.190      10166.000       100.8266
   85.290      10199.000       100.9901
   85.390      10224.000       101.1138
   85.490      10025.000       100.1249
   85.590      10082.000       100.4092
   85.690      10204.000       101.0148
   85.790      10284.000       101.4101
   85.890      10162.000       100.8067
   85.990      10191.000       100.9505
   86.090      10060.000       100.2996
   86.190      10214.000       101.0643
   86.290      10100.000       100.4988
   86.390      10201.000       101.0000
   86.490      10179.000       100.8910
   86.590      10050.000       100.2497
   86.690      10141.000       100.7025
   86.790      10174.000       100.8662
   86.890      10610.000       103.0049
   86.990      10322.000       101.5972
   87.090      10340.000       101.6858
   87.190      10396.000       101.9608
   87.290      10532.000       102.6255
   87.390      10319.000       101.5825
